epoch,train_loss,val_loss,best_val_loss,delta_per_best,saved_model,elapsed_time,epoch_time,cuda_mem_alloc,cuda_mem_cached
0,1.9440446533424989,1.9444321967964324,1.9444321967964324,0.0,True,1.7199586192766825,1.7197501023610433,73597440,8749318144
1,1.941512806122956,1.9424139686915096,1.9424139686915096,-0.0010379524203764751,True,3.416121816635132,1.6957545200983684,73597440,8749318144
2,1.935181301128183,1.9380697850166422,1.9380697850166422,-0.0022364870438992277,True,5.111467655499776,1.695062263806661,73597440,8749318144
3,1.8787360150112178,1.896015903921311,1.896015903921311,-0.021698847699114274,True,6.805495699246724,1.6937361240386963,73597440,8749318144
4,1.7098985460211977,1.7443857429152196,1.7443857429152196,-0.07997304278539653,True,8.499398632844288,1.6936193545659384,73597440,8749318144
5,1.6697522219162613,1.699743548105777,1.699743548105777,-0.02559192827088609,True,10.189940349260967,1.6902581373850505,73597440,8749318144
6,1.6481345321104033,1.6865841667428363,1.6865841667428363,-0.007741980475587474,True,11.885094352563222,1.6948704322179158,73597440,8749318144
7,1.610812302341896,1.6457438161343254,1.6457438161343254,-0.024214831025825737,True,13.57562772432963,1.6902414480845134,73597440,8749318144
8,1.5688195705963592,1.6130599717742549,1.6130599717742549,-0.019859618513919968,True,15.271690845489502,1.695779542128245,73597440,8749318144
9,1.5474227766425006,1.586713494382769,1.586713494382769,-0.016333228678724554,True,16.9716406305631,1.6996578653653462,73597440,8749318144
10,1.5192107306423475,1.5524778769891658,1.5524778769891658,-0.021576432994868295,True,18.665401780605315,1.693469230333964,73597440,8749318144
11,1.732850466023767,1.7750370198526502,1.5524778769891658,0.14335736834788884,False,20.358453981081645,1.6927686254183452,73597440,8749318144
12,1.4764966043545105,1.5279088627851107,1.5279088627851107,-0.015825677498028892,True,22.045984784762066,1.6874473969141641,73597440,8749318144
13,1.4730434710021023,1.5482280061938134,1.5279088627851107,0.013298661918659482,False,23.746710232893626,1.700441877047221,73597440,8749318144
14,1.65135981769034,1.6788776988321326,1.5279088627851107,0.09880748762189391,False,25.442898456255595,1.6960964759190877,73597440,8749318144
15,1.3529853471083546,1.424677245079724,1.424677245079724,-0.06756398907014224,True,27.1411634683609,1.6981816013654074,73597440,8749318144
16,1.6789868426512304,1.718448080808079,1.424677245079724,0.20620167602376202,False,28.83518316745758,1.6937277873357137,73597440,8749318144
17,1.2916909500693101,1.3773514981737782,1.3773514981737782,-0.03321857429069663,True,30.528552309672037,1.6932857394218446,73597440,8749318144
18,1.211966781838564,1.3069614105470972,1.3069614105470972,-0.051105391557645784,True,32.22070373694102,1.6918678482373555,73597440,8749318144
19,1.1343762613918853,1.2255621213535401,1.2255621213535401,-0.06228132562803301,True,33.911295501391095,1.6902998447418214,73597440,8749318144
20,1.0484985636039907,1.1704742986468575,1.1704742986468575,-0.04494902522431287,True,35.61912703911464,1.7075312892595926,73597440,8749318144
21,1.0017482105231181,1.1164662918888513,1.1164662918888513,-0.04614198433954756,True,37.33455677429835,1.715137815475464,73597440,8749318144
22,0.9782432566048272,1.1641014923345274,1.1164662918888513,0.04266604445807884,False,39.03213786284129,1.6972808241844177,73597440,8749318144
23,0.7993047702413262,0.9377908304684464,0.9377908304684464,-0.16003659288102606,True,40.73426452080409,1.7020349144935607,73597440,8749318144
24,0.9001721779016724,1.0642854742630656,0.9377908304684464,0.13488577589464437,False,42.429585337638855,1.6950289090474446,73597440,8749318144
25,0.7357022999923045,0.9113640229624005,0.9113640229624005,-0.028179852742690092,True,44.1379506667455,1.7082735935846964,73597440,8749318144
26,1.1467473381090372,1.3299423763417424,0.9113640229624005,0.4592877739662661,False,45.85659148295721,1.7183489004770915,73597440,8749318144
27,0.6819859078197397,0.8701545361239259,0.8701545361239259,-0.0452173728610908,True,47.55461462338766,1.6979397296905518,73597440,8749318144
28,0.8898773439535873,1.0433689660706749,0.8701545361239259,0.19906168704047308,False,49.25746689637502,1.7025686939557394,73597440,8749318144
29,0.6230783784752958,0.8096239767246602,0.8096239767246602,-0.06956299931377362,True,50.968784765402475,1.7112261215845743,73597440,8749318144
30,0.6162010423195781,0.8547104051247244,0.8096239767246602,0.05568810916700076,False,52.67420591513316,1.7051292260487874,73597440,8749318144
31,0.5243185604043169,0.7451444752389085,0.7451444752389085,-0.07964129440262388,True,54.37439756790797,1.700108249982198,73597440,8749318144
32,0.5059130148164682,0.7518994760910549,0.7451444752389085,0.009065357224826272,False,56.066991058985394,1.6923015753428141,73597440,8749318144
33,0.47449715119766755,0.7252905521506529,0.7252905521506529,-0.026644394138318008,True,57.75749106009801,1.6904082655906678,73597440,8749318144
34,0.4592348774549077,0.7461341746864388,0.7252905521506529,0.02873830697777581,False,59.44854989051819,1.6907669107119243,73597440,8749318144
35,0.523775585074013,0.8377262883113816,0.7252905521506529,0.15502164729339302,False,61.14899176756541,1.7003417929013571,73597440,8749318144
36,0.41784208066152545,0.7212708227789683,0.7212708227789683,-0.005542233191601876,True,62.84545522530873,1.6963717182477316,73597440,8749318144
37,0.3506220433457277,0.6638733232032266,0.6638733232032266,-0.07957829120911358,True,64.5402255733808,1.694478432337443,73597440,8749318144
38,0.3883115174967052,0.7155434651973961,0.6638733232032266,0.07783132743587007,False,66.23921620051065,1.6986820340156554,73597440,8749318144
39,0.4343226339583088,0.8568775007043983,0.6638733232032266,0.29072440593020904,False,67.92905731201172,1.6897493680318196,73597440,8749318144
40,0.6069343365249712,0.9461550491733021,0.6638733232032266,0.4252042010184264,False,69.61712190707524,1.6879728476206461,73597440,8749318144
41,0.3629658911553768,0.7112333235191082,0.6638733232032266,0.0713389115974218,False,71.30788047711054,1.690658485889435,73597440,8749318144
42,0.47699770665064917,0.8509715242474788,0.6638733232032266,0.2818281658637717,False,73.00317626396814,1.6952040394147236,73597440,8749318144
43,0.48442844175663236,0.9006021062885355,0.6638733232032266,0.3565872807527182,False,74.69436854124069,1.6911088665326437,73597440,8749318144
44,0.2769857912285952,0.7346289616609998,0.6638733232032266,0.10658002963031145,False,76.38818807601929,1.6937277913093567,73597440,8749318144
45,0.35095947869398825,0.7921161574349422,0.6638733232032266,0.19317365188427318,False,78.07549367348354,1.6872138579686482,73597440,8749318144
